property_type,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,state,lat,lon
house,574418.86,237.0,350.0,Distrito Federal,19.2995935,-99.2047923
apartment,36889.28,62.0,62.0,Distrito Federal,19.4306069,-99.0949899
apartment,79566.6,0.0,121.0,Distrito Federal,19.2990233,-99.0436467
apartment,194986.21,60.0,60.0,Distrito Federal,19.440935,-99.188522
house,342462.14,900.0,400.0,Quintana Roo,21.082655,-86.857162
house,270000.0,0.0,284.0,Quintana Roo,20.6376840173,-87.0701050758
apartment,152827.03,0.0,78.0,Distrito Federal,19.3499358,-99.2906864
house,492735.44,332.0,442.0,Distrito Federal,19.355751,-99.299347
house,678235.84,121.0,281.0,Distrito Federal,19.3445588,-99.1864442
house,1800000.0,460.0,556.0,Quintana Roo,21.1588598388,-86.801122427
house,549000.0,397.0,320.0,Quintana Roo,20.613375,-87.089897
apartment,8429837.4,350.0,350.0,Distrito Federal,19.3470575,-99.2965778
apartment,1500000.0,0.0,410.0,Distrito Federal,19.401079,-99.24807
house,247626.47,312.0,526.0,Quintana Roo,20.634902703,-87.093088647
apartment,163366.83,0.0,78.0,Distrito Federal,19.3499358,-99.2906864
apartment,50064.02,0.0,86.0,Quintana Roo,20.626583,-87.078659
house,252955.09,153.0,255.0,Distrito Federal,19.3471142162,-99.1543257236
apartment,129000.0,90.0,0.0,Quintana Roo,20.6133752,-87.0898943
apartment,182597.74,100.0,100.0,Distrito Federal,19.364967,-99.1428406
apartment,475000.0,171.0,171.0,Quintana Roo,20.6514788249,-87.0468020439
apartment,124608.8,300.0,120.0,Quintana Roo,21.082655,-86.857162
apartment,171271.67,74.0,74.0,Distrito Federal,19.323066,-99.1393153
apartment,83160.87,0.0,126.0,Distrito Federal,19.2990233,-99.0436467
house,579688.75,200.0,325.0,Distrito Federal,19.3779166,-99.1709895
house,2000000.0,750.0,800.0,Distrito Federal,19.420166,-99.220367
apartment,465900.0,0.0,185.0,Quintana Roo,21.158964,-86.845937
house,97493.1,168.0,168.0,Quintana Roo,21.203037,-86.806343
house,2850000.0,550.0,650.0,Quintana Roo,21.129547,-86.817017
apartment,34254.33,60.0,60.0,Distrito Federal,19.524143,-99.160149
apartment,208160.96,0.0,60.0,Distrito Federal,19.440935,-99.188522
apartment,399000.0,154.0,154.0,Quintana Roo,21.1121476062,-86.7676243186
house,750000.0,800.0,300.0,Quintana Roo,21.1347621,-86.7461357
apartment,221208.0,1000.0,100.0,Quintana Roo,20.2112148,-87.462213
store,140000.0,0.0,36.0,Quintana Roo,20.6147810662,-87.0929412894
house,1150000.0,523.0,450.0,Distrito Federal,19.401079,-99.24807
house,97469.99,170.0,0.0,Quintana Roo,21.129547,-86.817017
